DSTC10TOPICAL-000000	Hmm I am not sure of that. He went to college for it?	Nope he just attended drama class in high school because that is where the pretty girls went	Hahaha the guy really knew what he was after even that early	Yes, he did. He was a good sport about it, but I felt bad for him.
DSTC10TOPICAL-000105	I am not sure. But I'd definitely see the recent Spider Man film. I heard it was really good. And it won some Oscars	I heard it was really good, hes not my favorite superhero, but Id definitely see it also.	Do you read any other comic books?	I don't read a lot of comic books, but I do like the Marvel Cinematic Universe.
DSTC10TOPICAL-000106	Wow. Drogba once stopped a civil war in his country	WOw amazing. Even Jon Steward used to be a soccer player	Nice a tv host and a soccer player, lots of talent there	Yes, he was a very talented player.  He played for the Dallas Cowboys.
DSTC10TOPICAL-000107	They give 24 awards to talented people in the film industry annually.	Yes, Did you know that Daniel Day-Lewis is the only actor to win Best Actor at the Oscars 3 times.	No, I did not know that. Thanks for the info. I always like to know the facts related to the entertainment industry.	I didn't know that either, but it makes sense since he's been nominated for so many awards.
DSTC10TOPICAL-000108	Friends was a great show, they had so much talent there. I was and am more of a Seinfeld fan, 3rd rock was ok.	I just love that comedies generally have a happy ending. I love to smile and laugh.	Yeah same here, and comedy is pretty hard to do right!	I agree, it's hard to believe it's been on the air since 1989.
DSTC10TOPICAL-000109	I watch it most weekends. I prefer the NFL to college football or any other league.	I was shocked to find out that an average NFL game, only has 11 minutes of live gameplay.	They do keep the time running while the teams are setting up & calling a new play a lot so I guess it's not too surprising. They still earn a lot of money for the little work they do.	That's true.  The NFL has been around since 1920.  It's been around a long time.
DSTC10TOPICAL-000110	do you know much about the universe?	Some stuff. There is a theory that it was formed through evolution	Yeah and another one that there is only one electron in it	I know a little bit about it, but I'm not very knowledgeable about it.
DSTC10TOPICAL-000111	Originally the runner-up would become vice president. So in our last election we would had vice president Hillary Clinton and president Trump. Talk about a lot of drama haha	Wow! That would have been crazy. We are much too partisan for that now. Maybe it would force us to work together more. Off topic but do you watch a lot of TV?	I watch a little bit of TV. since I don't have cable I only watch Netflix mostly. I like the show stranger things, what about you?	I love the show Stranger Things! It's one of my favorite shows on Netflix.
DSTC10TOPICAL-000112	Jefferson created a bible? How much money did he make on it? I know he was rich.	Yeah he created a version of it and took out all the supernatural stuff because he did not believe in it	There must not have been much left! I guess it was short book. Why did Jefferson do this? Was he angry at God or something?	I'm not sure why he did that, but I do know that the bible is a collection of sacred texts.
DSTC10TOPICAL-000113	I am not sure but it is shot in California in an Ikea store and people there do not even know	WOw. Do you like radio dramas?	I like them sometimes. Do you listen to them?	No, I don't listen to much radio. I prefer to listen to podcasts.
DSTC10TOPICAL-000114	Probably. I guess it's written into their contract.	football players are having too much troubles already	That's true. But it seems everyone else has to change their ways for them.	Yeah, I think so too. I'm not sure what to do about it.
DSTC10TOPICAL-000115	Yes, have you seen Iron Man, if yes did you like it?	Yes. Even after ten years it holds up quite well!	That's true, I even like the actor in Iron Man as much as the movie itself. He is one of my favorite actor.	I haven't seen it, but I've heard a lot about it. It's the highest grossing superhero film of all time, right?
DSTC10TOPICAL-000116	I understand their thinking. They felt that they should be loyal to the law of the land and the people of the US.	Do you like football?	Football is a fun sport. I don't get a chance to watch it much. You?	I do like football, but I'm not very good at it. I'm more of a soccer fan.
DSTC10TOPICAL-000117	Yes that is amazing, was also shocked when I read that	I guess I find all of it fascinating. How did someone figure out that these waves could be converted into sound?	I know its crazy, I wonder if it was one of those I have an idea moments	I have no idea, but it was so cool to see.  I wish I could have seen it in person.
DSTC10TOPICAL-000118	OK. Did you know that females could play in the NFL ?	No but i dont like how cheerleaders are forbidden from eating in the same restaurant as any nfl player	That is crazy that they would have to leave if a player comes in.	I didn't know that, but I do know that the NFL is the most popular professional football league in the world.
DSTC10TOPICAL-000119	Absolutely - there is a reason the lifetime earnings of an engineer is higher than that of a nfl player - their career is a lot longer.	It's funny to think that back in the 1960s, bowlers were paid more. I can't imagine sitting around and watching bowling being more exciting, but bowling alleys were popular.	Yeah I do love bowling though its been a while since I did it. There are more female bowlers though - even though it is allowed for women to play in the NFL, there aren't any.	That's true, but I don't think women's bowling is as popular as men.
DSTC10TOPICAL-000120	I guess. Do you know how the polos were invented?	Yes they were invented by a tennis player Rene Lacoste	Yes and then was adopted by others and the rest is history	I do not know much about them, but I do know that they are a type of racket sport.
DSTC10TOPICAL-000121	What a guy really. Did you know about that weird rule that New Orleans cheerleader shave to abide to?	Yeah about not being able to eat in the same restaurant as the players. What is up with that?	Yeah and they have to leave mid meal. That rule is sexist and has to go	I didn't know that, but I can see why they would want to do that.
